title,city,locality,bhk,areaSqft,floor,totalFloors,ageYears,furnishedStatus,facing,propertyType,listingType,price,verified,hot,sellerName,sellerPhone
"Cozy 1BHK Independent House in Yelahanka","Bangalore","Yelahanka","1","980","2","9","9","Semi-Furnished","North-East","Independent House","Buy","5430297","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Builder Floor in Marathahalli","Bangalore","Marathahalli","3","1303","2","13","24","Semi-Furnished","North-West","Builder Floor","Rent","42028","true","","Rahul Sharma","+91-9876543210"
"Spacious 3BHK Apartment in Rajajinagar","Bangalore","Rajajinagar","3","1301","11","26","9","Semi-Furnished","North-West","Apartment","Buy","9633814","true","true","Sunita Verma","+91-9543210987"
"Spacious 2BHK Apartment in Jayanagar","Bangalore","Jayanagar","2","1241","12","21","16","Unfurnished","North","Apartment","Buy","9050103","","true","Rajesh Kumar","+91-9432109876"
"Luxurious 5BHK Apartment in HSR Layout","Bangalore","HSR Layout","5","1973","8","13","24","Furnished","West","Apartment","Buy","13480493","true","","Sunita Verma","+91-9543210987"
"Spacious 2BHK Studio in Bellandur","Bangalore","Bellandur","2","1348","14","23","6","Semi-Furnished","East","Studio","Buy","10356990","true","","Priya Singh","+91-9765432109"
"Cozy 1BHK Studio in Bellandur","Bangalore","Bellandur","1","790","7","19","16","Furnished","South-East","Studio","Buy","5320089","true","true","Sunita Verma","+91-9543210987"
"Luxurious 5BHK Independent House in Whitefield","Bangalore","Whitefield","5","1907","1","13","3","Semi-Furnished","East","Independent House","Rent","82582","true","","Amit Patel","+91-9654321098"
"Luxurious 4BHK Studio in HSR Layout","Bangalore","HSR Layout","4","1924","19","29","14","Unfurnished","South","Studio","Buy","13733482","","","Rajesh Kumar","+91-9432109876"
"Spacious 2BHK Independent House in Bannerghatta Road","Bangalore","Bannerghatta Road","2","1362","18","20","25","Semi-Furnished","South-West","Independent House","Rent","28532","","true","Rahul Sharma","+91-9876543210"
